# logn beta gamma alpha delta logL logPrior
-6.502271472779371564e+00 1.612902026782443876e+00 2.428118265808054232e+00 -2.846159859327479946e+00 8.409862484824696116e-01 -5.791525470016548383e+00 0.000000000000000000e+00
-6.902207417834175907e+00 -2.490237934937402642e-01 3.751818331929872574e+00 -2.777204157403658336e+00 1.039669294196203797e+00 -5.735120395289746931e+00 0.000000000000000000e+00
-1.302018015309541354e+01 6.420199424842975233e+00 2.817331974316588994e+00 -2.924531470953418033e+00 1.962071569288756701e+00 -5.700335738256343099e+00 0.000000000000000000e+00
-3.017225022821556024e+00 4.496137912440188344e+00 1.375172361972872626e+00 -2.805198522649539061e+00 -1.210911163008183272e-01 -5.679953771953464070e+00 0.000000000000000000e+00
1.627028725318543145e+00 -3.794723360135920931e-01 7.648971013010205100e-01 -1.130841356813319099e+00 -5.922549967384109770e-01 -5.634878838311976779e+00 0.000000000000000000e+00
-1.653019793915749602e+00 1.964907645499119893e-02 2.797462273949871570e+00 -2.058849056354244977e-02 9.667442087340939461e-01 -5.557024545302184038e+00 0.000000000000000000e+00
-3.150674443212011511e+00 1.059784994019102866e+00 2.971797167637692194e+00 -1.193391720217490626e+00 9.082900868319061516e-01 -5.508952751562939731e+00 0.000000000000000000e+00
-6.752836693316696781e+00 4.975076229321548027e+00 4.449127720041326839e+00 -6.518586440599659637e-01 1.940492880777490159e+00 -5.505238849811727952e+00 0.000000000000000000e+00
5.955299867290615445e-01 3.455917553376357088e+00 3.099259230728870662e+00 -7.370765291328487123e-01 -7.811813336344457515e-01 -5.427497684467213368e+00 0.000000000000000000e+00
-4.469918246572652798e+00 8.028943780912943806e-01 4.143872553835423744e+00 -8.506932994530167491e-01 1.140466436687984864e+00 -5.392385861500245348e+00 0.000000000000000000e+00
-1.215483761349315017e+00 2.982704512850324896e+00 1.612229487273071360e+00 -1.991004512578897767e+00 -3.618885177682076293e-01 -5.385762297938030407e+00 0.000000000000000000e+00
-1.577366013130434563e-01 3.023233092398831534e+00 5.308957352458795187e-01 -2.193587254986226753e+00 -5.030152903926974339e-01 -5.363524679004477491e+00 0.000000000000000000e+00
-2.571016558461135748e+00 2.426992526498858993e+00 3.048115259428631152e+00 -2.538071452371344350e+00 -6.132307065038360150e-02 -5.291734580088784945e+00 0.000000000000000000e+00
-7.628837646810759487e+00 -8.112981264937753068e-01 4.848029066197085513e+00 -2.046294056905893832e+00 1.578256962831093402e+00 -5.244901473346614829e+00 0.000000000000000000e+00
-1.087594853866539069e+01 6.430616851684375135e+00 3.808571660868246056e+00 -1.665418028079993285e+00 1.860813787738317959e+00 -5.190563654897339951e+00 0.000000000000000000e+00
-5.671356666898660137e+00 -1.424485719717887733e+00 5.923509825766132275e-01 -2.832523288920897553e+00 1.093547911735370137e+00 -5.175018935742017767e+00 0.000000000000000000e+00
-1.942961692040778399e+00 1.379166974244909083e+00 7.838728609136746961e-01 -9.574110113353068163e-01 6.445902233220730526e-01 -5.172874847646263596e+00 0.000000000000000000e+00
-5.577941609647723453e+00 1.834232471756811478e+00 4.890569561462946524e+00 -1.662327786279323538e+00 1.003447070606055647e+00 -5.160814424173330472e+00 0.000000000000000000e+00
-5.454942054421247910e+00 8.917524805904646357e-01 1.087419733928081111e+00 -1.543816785562553529e+00 1.188996321793209798e+00 -5.136109109474787715e+00 0.000000000000000000e+00
-4.773227380451812607e+00 1.883476991865328687e+00 2.448485088910142604e+00 -1.672712869653816936e+00 1.136323112557759085e+00 -5.074859197833085922e+00 0.000000000000000000e+00
-4.883473057160886199e+00 2.407493627767510525e+00 3.870685040040852787e+00 -6.162101166626872129e-01 1.249477260890946129e+00 -5.029118792915939551e+00 0.000000000000000000e+00
4.142737163642271625e-01 3.390512055368549049e+00 2.339618112904254810e-01 -3.445255757450987888e-01 -6.811777122118262140e-01 -5.027935260809396567e+00 0.000000000000000000e+00
-5.135761242557019379e+00 -1.910632187282483185e+00 2.118716035245999052e+00 -2.523986867029356596e+00 7.914992914990575112e-01 -5.004248179425269782e+00 0.000000000000000000e+00
-7.707700000456865652e+00 6.236813703566258305e+00 1.446439037714103870e+00 -1.807594756374898859e+00 1.403712926332647104e+00 -4.967911148807617749e+00 0.000000000000000000e+00
-7.270538144713488471e+00 -4.485296450900992382e-01 1.912765268215975922e+00 -2.499000759294851992e+00 1.541342913897143507e+00 -4.931292057979392851e+00 0.000000000000000000e+00
-8.193548697192706953e+00 -7.937291364496927848e-01 1.793442692954481110e+00 -2.225007220472827285e+00 1.940155383722907967e+00 -4.923186999855087898e+00 0.000000000000000000e+00
-8.035753920777983783e-01 2.769771341841810397e+00 2.329668204529796949e+00 -8.632440198974400403e-01 -6.888409306145759636e-02 -4.888493612329477322e+00 0.000000000000000000e+00
-1.264989752420621727e+00 -7.113686478694930537e-02 3.692580337933704104e+00 -2.327780005051634238e-02 7.085472759573053780e-01 -4.878921118027110815e+00 0.000000000000000000e+00
-6.310684440028142106e+00 5.226869993848578311e+00 3.793859902330008804e+00 -1.344691547259714737e+00 1.224542365684507139e+00 -4.851649999267214852e+00 0.000000000000000000e+00
