# logn beta gamma alpha delta logL logPrior
-6.205200980230568319e+00 6.720318209166448398e+00 4.125828806480404509e+00 -7.951743224915934771e-01 5.673939112027267528e-01 -1.032496315509113494e+01 0.000000000000000000e+00
-1.957135732714728960e+00 1.190621698638490544e+00 4.159239061568402285e+00 5.826323070712985386e-01 1.608280531251993217e+00 -8.744834724370498691e+00 0.000000000000000000e+00
-1.281773876553265329e-02 2.182440499920400789e+00 3.633066517451361221e+00 -2.118569905987421453e+00 -3.308252123300247094e-01 -7.453356080269161410e+00 0.000000000000000000e+00
5.593975799877067834e-01 -1.086121589786811059e+00 2.943226363271232326e+00 -5.904075443031466808e-01 -7.792054070321908776e-01 -7.376723953574137127e+00 0.000000000000000000e+00
-5.286507677094881785e+00 6.632083956354145826e+00 2.219258542211743457e+00 -7.714836845257713183e-01 4.172363017781587358e-01 -7.080934606435653755e+00 0.000000000000000000e+00
-7.095167700359988672e+00 6.359854632250602435e+00 1.370012974841709363e+00 -9.481254422905608381e-01 1.792602127738170736e+00 -6.759828244778232964e+00 0.000000000000000000e+00
-2.232336981935969078e+00 7.545232769838856601e-01 3.750119828021684754e+00 1.970779914237193564e+00 1.657920673377733412e+00 -6.589284168723541946e+00 0.000000000000000000e+00
-6.068075032979239225e+00 6.641488116628121219e+00 4.374966066952802102e+00 6.909850443645036977e-01 1.602148425575090851e+00 -6.553219082964454323e+00 0.000000000000000000e+00
-2.979468464215575096e+00 1.894747982977754486e+00 4.315632399765471305e+00 9.731815875223097656e-01 1.447288526737236403e+00 -6.484378111709886205e+00 0.000000000000000000e+00
-5.570770651091698777e-01 1.810981460806854626e+00 1.766117506627351785e+00 -2.174285363786158776e+00 -1.298002854162954300e-01 -6.292910488421557424e+00 0.000000000000000000e+00
-8.629117519574275308e-01 -1.589291826082869674e+00 1.121377695759107507e+00 2.055015906978483908e+00 -8.386665386872688144e-01 -6.277479697644738899e+00 0.000000000000000000e+00
-3.292842140920424931e+00 5.238278096556086894e+00 4.122385933709062478e+00 2.836781490525084326e+00 8.036407699041350772e-02 -5.940147274990044579e+00 0.000000000000000000e+00
-3.104343150480144864e+00 -1.626033485414454693e+00 2.069088044002064808e-01 -1.161213899850776610e+00 1.226756213674455420e+00 -5.860500874571594743e+00 0.000000000000000000e+00
9.018977546965331049e-01 4.963167828773598522e+00 4.500579198293931382e-01 -2.049532917646605501e+00 -8.786575573081034651e-01 -5.845065321899657995e+00 0.000000000000000000e+00
-2.180409295744647924e+00 4.601753158045934100e+00 4.582399302973186650e+00 5.528622553876956225e-01 2.434405457312684984e-01 -5.786772142496549698e+00 0.000000000000000000e+00
-3.041942155012127724e+00 3.730314990725249746e+00 2.284193022863053368e+00 -8.599490958856997880e-01 1.890220167088251246e-01 -5.700205792342390332e+00 0.000000000000000000e+00
-2.611504059438205516e+00 1.808939769438517642e+00 3.091640766433004117e+00 -5.956752542583438892e-01 3.606418193552249907e-01 -5.684647276026220553e+00 0.000000000000000000e+00
-3.183065025211388566e+00 1.251564881064495038e+00 2.346798448404470161e+00 -5.066403390455087585e-02 9.911022302708132337e-01 -5.681843971274594729e+00 0.000000000000000000e+00
