# logn beta gamma alpha delta logL logPrior
-1.211147562737934891e+00 3.101159361996780994e+00 1.530915902062472078e+00 -5.360406736207531386e-01 2.626749244701951924e-01 -9.401632474140569684e+00 0.000000000000000000e+00
-1.751601431229403039e+00 -1.143097359198956164e+00 4.189848154576840678e+00 3.982707997993018001e-02 3.327618094207748234e-01 -8.873278673593560484e+00 0.000000000000000000e+00
-1.768925200462254210e+00 -1.643615029877837141e+00 7.108907116254702396e-01 -3.423159631777876188e-01 3.990840548613757699e-01 -7.343545430614761393e+00 0.000000000000000000e+00
-5.214071489764480205e+00 6.649816621544658801e+00 4.153896996871553782e+00 2.008515010676461543e+00 1.752016752566700974e+00 -6.439636614038724005e+00 0.000000000000000000e+00
-1.278186666120396442e+00 7.602272569717317685e-01 3.911372395728936358e+00 2.164476251536532114e+00 -9.783551405640976695e-01 -6.206070900851517358e+00 0.000000000000000000e+00
-1.024952973951923596e+01 1.445294838598103482e+00 7.373139752550595949e-01 -2.569876884226591329e+00 1.899727797343508051e+00 -6.153358596062697750e+00 0.000000000000000000e+00
-2.231023440389305890e+00 2.729804811486326033e-01 2.094094664235205627e+00 2.546224322227453651e+00 1.572052099887583987e+00 -6.078756325881475853e+00 0.000000000000000000e+00
5.197529468485718729e-01 1.046504984932101756e+00 1.607007170322646061e+00 -2.087542888397881491e+00 -6.858135618900996766e-01 -5.899860049538389717e+00 0.000000000000000000e+00
-2.161633434608851267e+00 -8.433534138993667995e-01 3.774180888185448612e+00 2.688673574193026106e+00 1.952328814519521227e+00 -5.776302497613111875e+00 0.000000000000000000e+00
4.955403143214942019e-01 2.194251140236588071e+00 1.618038826433626287e+00 1.134269339893392514e+00 -9.409915522499447960e-01 -5.669160780789877840e+00 0.000000000000000000e+00
2.207066244965356361e-01 -1.756929422399843066e+00 5.281641344666484494e-01 2.026145232641930249e+00 -5.233432066931347215e-01 -5.638450436544580668e+00 0.000000000000000000e+00
-2.136265944498994429e+00 -4.504307279869275149e-01 4.218917379629044895e+00 8.788369134192944854e-01 2.609368812765219925e+00 -5.597445481130970180e+00 0.000000000000000000e+00
-3.208770416595142283e+00 3.702544993179505362e+00 2.383057960023190258e+00 2.159637225399970273e+00 2.133134027745303030e+00 -5.566665082647177520e+00 0.000000000000000000e+00
-8.500125608914331110e+00 -4.944743804733065518e-01 1.139250532151940831e+00 -1.842991186994174857e+00 2.308707769743679972e+00 -5.539640929240013278e+00 0.000000000000000000e+00
-4.678312205126359258e-01 1.199535939552132779e+00 2.927213419614026257e+00 2.054163719681334044e+00 -5.964849884640351929e-01 -5.530873086398696792e+00 0.000000000000000000e+00
-4.753710669588788740e-01 -1.977219940998647063e+00 1.144458665308954348e+00 1.915729418542574392e+00 2.370023542593225230e+00 -5.530468088697280571e+00 0.000000000000000000e+00
-2.414161169683628483e+00 6.114174491568932446e+00 3.153137645203320516e-01 1.998724137242404497e+00 2.348816443950747068e+00 -5.419873845396481649e+00 0.000000000000000000e+00
-8.416210285124972046e+00 5.857321316599093386e+00 9.058953518757300039e-01 -1.509500828343195877e+00 2.029913766450450296e+00 -5.402940439044645160e+00 0.000000000000000000e+00
-3.208003989754132146e+00 2.451347857052708523e+00 4.383473787701454683e+00 1.112356078209963788e-02 7.389786108138935994e-01 -5.364260389785656002e+00 0.000000000000000000e+00
