# logn beta gamma alpha delta logL logPrior
-3.679258278273560112e+00 5.840665219416504961e+00 5.972641082960983283e-01 -5.144952204131237883e-01 6.377966955485029343e-01 -4.828785242695321500e+00 0.000000000000000000e+00
-1.138956844609395347e+01 2.466637701982318021e+00 2.587382487590134339e+00 -2.082312532182105436e+00 2.661376817482567603e+00 -4.767610633110114904e+00 0.000000000000000000e+00
-1.985222104624690065e+00 2.066428742485977299e+00 1.165672872542053984e+00 1.495337263808327322e+00 6.571484211518231477e-01 -4.765740423930197700e+00 0.000000000000000000e+00
-2.180292526928351293e-01 1.197684629585089588e+00 3.765174483262180294e-01 2.651161921762637430e+00 -8.326512580868675739e-01 -4.752262583675406660e+00 0.000000000000000000e+00
-4.099460190323406472e+00 6.627580269182020700e+00 2.872351173606794816e+00 2.802083178987633705e+00 3.001236428696063552e-01 -4.751564229554852581e+00 0.000000000000000000e+00
-4.050271221468491056e+00 4.781343034180668639e+00 1.596420345954181697e+00 -3.527506915809105470e-01 1.212508653553637572e+00 -4.740888825222795866e+00 0.000000000000000000e+00
-5.053635281227312426e+00 4.889811594003161233e+00 3.077550602682793013e+00 -4.421204283383583511e-01 1.421486387104708093e+00 -4.724851052111310068e+00 0.000000000000000000e+00
-7.512014578522180130e+00 6.264138716620847980e+00 3.039746662010656131e+00 1.611006419719029081e-01 2.373410102891768680e+00 -4.722323762370967515e+00 0.000000000000000000e+00
-2.587020373106283522e+00 9.533215246151496292e-01 2.920839442523682550e+00 -6.158918631669630522e-02 1.332671899595640586e+00 -4.687097014059888878e+00 0.000000000000000000e+00
-2.023739375072724833e+00 3.648860549935268871e+00 3.655734269027186123e+00 -1.270135696296577521e+00 -2.593891238375567454e-01 -4.668827586203615709e+00 0.000000000000000000e+00
-3.301170073276763262e+00 5.982854968599560230e+00 2.356621376840925652e+00 5.986950642901070485e-02 -1.863208854066417675e-01 -4.660426414999927047e+00 0.000000000000000000e+00
-4.898066140056900331e+00 2.870146253685526450e+00 4.661477304295719826e+00 -1.115847799639396953e+00 8.989514347599076860e-01 -4.507010172284387828e+00 0.000000000000000000e+00
-3.795433135440229755e+00 9.249140354523017749e-01 4.936957416572474777e+00 -9.917466322749092233e-01 8.102723660463639899e-01 -4.460148517023201364e+00 0.000000000000000000e+00
-3.318127688860194713e+00 5.286142735497063150e+00 3.760413336925839900e+00 2.565808426816109655e+00 2.237935116817858727e+00 -4.433296790775824725e+00 0.000000000000000000e+00
-2.614022778460602048e+00 5.044504050462244926e+00 1.456235903169218693e+00 2.557242609390404375e+00 1.415282249614782328e+00 -4.433026799121456918e+00 0.000000000000000000e+00
-9.378125206445975692e+00 2.760741044001648881e+00 2.552204069886450100e+00 -1.656733075995879156e+00 2.096963970177629921e+00 -4.428373642906671570e+00 0.000000000000000000e+00
-8.474005033077252946e+00 1.935781816564122515e+00 2.393828961332131300e+00 -2.152888415518124710e+00 1.887646748380830797e+00 -4.410649928426427557e+00 0.000000000000000000e+00
-7.078678618140648915e+00 6.033444402684740915e+00 2.145223325156010219e+00 -9.031631915328506288e-01 1.706077324489777114e+00 -4.409315382538089523e+00 0.000000000000000000e+00
-1.070416432594331901e+01 4.934841494736427414e+00 2.993751382648393022e+00 -2.447737764409026351e+00 1.634808658892931366e+00 -4.408653517367906005e+00 0.000000000000000000e+00
-3.674401123553893367e+00 5.898472483724737536e+00 3.534122319201805862e+00 2.608913427790341188e+00 8.530693730399633301e-01 -4.402416548654144002e+00 0.000000000000000000e+00
-1.507132502069068813e+01 6.509330119983687268e+00 2.646138673456102985e+00 -2.773054118332666462e+00 2.249543380058756092e+00 -4.399885881013750222e+00 0.000000000000000000e+00
-6.892054503337398330e+00 4.743233468103150052e+00 4.185672144811351636e+00 -6.044272736908955501e-01 1.620558024284108667e+00 -4.392809360390140583e+00 0.000000000000000000e+00
-3.934601175094281533e+00 4.338274841048714414e+00 2.331877399308145637e+00 -2.254132664509955752e+00 1.331330154182710779e-01 -4.375031564888660185e+00 0.000000000000000000e+00
-3.816193381918771887e+00 4.084579206591479661e+00 4.320747373617547460e+00 2.799173224448179287e+00 5.925596425626274977e-01 -4.374841120424358465e+00 0.000000000000000000e+00
-2.310834263540051392e+00 2.071461333291697571e-01 3.718696389755262288e+00 2.781249509369666750e+00 1.004595811549272799e+00 -4.372665778570130612e+00 0.000000000000000000e+00
-1.074471812216912570e+00 -1.795990606535035061e+00 4.794771866778043012e+00 2.510772740884573029e+00 -9.410171354716977410e-01 -4.366397221562102970e+00 0.000000000000000000e+00
-4.890265923905963596e+00 4.766961751055382557e+00 4.990216638549561878e+00 -2.822330318962846807e+00 3.733361969335475816e-01 -4.360013336326955979e+00 0.000000000000000000e+00
-3.747502175023145199e-01 5.733423977760931933e-01 1.127177634646101545e+00 2.238554883695986319e+00 -5.757941624183195994e-01 -4.354595650341289037e+00 0.000000000000000000e+00
-1.476560940949998457e+00 6.791677536076512034e+00 8.137943866095410650e-01 1.354471772833705234e-01 -2.933452286628733807e-01 -4.322967460049484956e+00 0.000000000000000000e+00
-2.222464292200837299e+00 3.124824118873627654e+00 3.162519825258729433e+00 -4.677530746654226523e-02 6.618571445415571963e-01 -4.322233394250834415e+00 0.000000000000000000e+00
-1.688405586069181563e+00 5.551896566734419558e+00 1.914822003056398492e+00 1.599802387386281277e-01 -2.780390084915486115e-01 -4.300850855050284416e+00 0.000000000000000000e+00
-3.918860992790402342e+00 6.183962332245492632e+00 4.072050441424506673e+00 -2.134918977009164998e+00 -2.098775125775259043e-01 -4.289276816533936554e+00 0.000000000000000000e+00
1.829662024168798418e+00 1.109963973558230066e+00 5.800320111442450743e-01 -8.037550281884753289e-02 -9.440616262701414518e-01 -4.283368897496316663e+00 0.000000000000000000e+00
-3.817500268850601008e-01 9.442967962847441665e-01 1.525876815651097562e+00 -8.525877634622709422e-01 -4.075310611673471639e-01 -4.251782488464400878e+00 0.000000000000000000e+00
