# logn beta gamma alpha delta logL logPrior
-2.737008107981205196e+00 5.918477421847359921e+00 2.505283935544112772e+00 -2.182339389686587527e-01 2.236385145735386715e-01 -9.253627728251981210e+00 0.000000000000000000e+00
-1.044003929664976349e+00 6.045679661348252187e-01 4.743827907989126014e-01 -1.533099890351911965e+00 -1.552382404974879671e-01 -8.566363612747288414e+00 0.000000000000000000e+00
-8.241740567314728594e+00 4.277737736365653909e+00 1.387098117226686744e+00 -2.189017143003148647e+00 1.299139529599809606e+00 -8.113332228968964444e+00 0.000000000000000000e+00
-9.316716873649731667e+00 6.885270957247399792e+00 1.793873826514672754e+00 -6.785086690139382481e-01 2.150570174709647731e+00 -7.761691503890151722e+00 0.000000000000000000e+00
6.569226219182289217e-01 4.595017586958736189e+00 4.151858764349952047e+00 -1.573673022651558728e+00 -8.909319299726878860e-01 -7.272228058997777467e+00 0.000000000000000000e+00
3.464349651022370913e-01 -1.412796817849619080e+00 5.453017551893902803e-01 -2.024425139726627965e+00 -5.108004710890429179e-01 -6.975723778053237289e+00 0.000000000000000000e+00
-7.938116811326500155e+00 9.035695009213408069e-01 2.766039096253350760e+00 -1.962069766730522247e+00 1.611609078287850050e+00 -6.559963672975229088e+00 0.000000000000000000e+00
-7.696708481931548107e+00 5.199587732202895829e+00 3.831022705090748826e+00 -1.071362901155930913e+00 1.927822597750104894e+00 -6.499326131896878245e+00 0.000000000000000000e+00
-3.841596460278312364e+00 1.606177507662929438e+00 4.418094534267745233e-01 -5.452590809969926067e-01 1.775806276527694294e+00 -6.256354200986295133e+00 0.000000000000000000e+00
-6.547355383342827295e+00 -1.817163923933803771e+00 8.372411064489416743e-01 -2.696248838681426285e+00 1.354625943098504370e+00 -6.135500425375632005e+00 0.000000000000000000e+00
-6.758908232907453462e-01 -1.599716099493774024e+00 3.999363536515496143e-01 -9.451195171365159853e-01 3.707303010034443402e-01 -6.078961580299112377e+00 0.000000000000000000e+00
-1.932310111899858407e-01 3.939969728828963902e+00 2.649473683449660166e-01 -1.279594983035450717e+00 -4.282212222275295077e-01 -5.984337087011578404e+00 0.000000000000000000e+00
-7.569148712674313551e+00 5.226752163806491769e-01 3.826344019146538322e+00 -2.595495269014186146e+00 1.516225667601030391e+00 -5.941504127774795307e+00 0.000000000000000000e+00
-4.846255442464108221e+00 3.871457233280931387e+00 2.206379001912318616e-01 -1.791567677699873684e+00 9.515393205971729440e-01 -5.872306985363963783e+00 0.000000000000000000e+00
-7.656356762113806447e+00 5.144303095895539357e+00 2.463318397590684050e+00 -2.114609816616441762e+00 1.317195734260231843e+00 -5.828044493800137893e+00 0.000000000000000000e+00
-4.057649667975080199e+00 6.886372314142301221e+00 3.193150159352506900e+00 -1.037534042616714558e+00 -2.276254498618786870e-01 -5.753101404606313807e+00 0.000000000000000000e+00
-1.808293364400734182e+00 3.792743848273156804e+00 3.200242561246261275e+00 -2.740050503060941778e-01 -3.912005696347257699e-01 -5.558983148455146406e+00 0.000000000000000000e+00
-3.056802269192012034e+00 6.834072694958785554e+00 3.260173558696181750e+00 -4.070689027999334630e-01 -9.821867345294432727e-02 -5.555276317524381113e+00 0.000000000000000000e+00
-5.227074107933985303e+00 4.601792471337065038e+00 1.811958491086610001e+00 -1.894652144936046945e+00 8.786087263041721940e-01 -5.476626729700185159e+00 0.000000000000000000e+00
-9.263219908341691067e+00 1.718280024720919119e+00 4.679509978770378664e-01 -1.866629000762435764e+00 2.484375874407999341e+00 -5.442096120131823866e+00 0.000000000000000000e+00
4.092183591930759201e-01 -1.031714543580436905e+00 4.404822724199212836e+00 -2.184010928013444541e+00 -2.707615467499010498e-01 -5.276902065294587274e+00 0.000000000000000000e+00
-5.798345460328204748e-01 2.332436785248759026e-01 4.389500172830918423e+00 -2.254747973969147612e+00 -8.163541257936378359e-02 -5.274928812837869962e+00 0.000000000000000000e+00
-9.660309999019807137e+00 6.441292126642345295e+00 2.521357591157557643e+00 -1.835806956107706833e+00 1.790881204693789197e+00 -5.230522447815685538e+00 0.000000000000000000e+00
-1.381135013232663589e+01 2.180830062261547297e+00 3.883978898302277383e+00 -2.565423756679451106e+00 2.602528193781535215e+00 -5.199821668508345596e+00 0.000000000000000000e+00
-1.273055741508820660e+01 6.048612812302382125e+00 4.961770673916213070e+00 -1.976101713618876321e+00 2.212831686092131100e+00 -5.187771425378494783e+00 0.000000000000000000e+00
-1.112550017291893178e+00 5.414222903745450566e+00 3.818663878665478073e+00 -1.861867038092027471e+00 -5.221850793357196707e-01 -5.140454615283866602e+00 0.000000000000000000e+00
1.224950059634272032e-01 1.761539086346165517e+00 3.126172031620883196e+00 -8.507231150553564714e-01 -3.141272167480609889e-01 -5.132058796048551308e+00 0.000000000000000000e+00
-1.087706319675943512e+01 -6.063245470327964792e-01 1.841360705642622886e+00 -2.339808736041910198e+00 2.533947386036771832e+00 -5.087190055989374571e+00 0.000000000000000000e+00
-4.161769870568440943e+00 6.872517769142010735e+00 2.404631372003478429e+00 -2.675070204526157625e+00 1.513099923851723982e-02 -5.074982683531873207e+00 0.000000000000000000e+00
-1.058722518534740686e+01 2.323951976018391319e-01 2.257639289169208308e+00 -2.915449002933461209e+00 2.043538464952002087e+00 -5.059882532895421114e+00 0.000000000000000000e+00
-2.983953805282022476e+00 4.125343812990158732e+00 4.676322361091418855e+00 -2.758313764873283169e+00 5.491884038943781188e-02 -5.028110448037656610e+00 0.000000000000000000e+00
-5.888310079385838947e+00 6.231258312647195652e+00 7.853212189005518429e-01 -3.800689191099286546e-02 1.853971347060627828e+00 -5.025135351058965583e+00 0.000000000000000000e+00
2.237906487958871260e+00 -5.481526930163288513e-01 3.336108023055046612e+00 -1.626422098107106917e+00 -8.103693620278189513e-01 -4.968179194797333054e+00 0.000000000000000000e+00
-7.203182285565216780e+00 -1.920059298783110657e+00 2.414413340474892866e+00 -2.300580639111181824e+00 1.387734599355602727e+00 -4.926483997035819407e+00 0.000000000000000000e+00
