# logn beta gamma alpha delta logL logPrior
-2.223929366503874405e+00 1.312072603795618075e+00 2.994247527894249861e-01 2.841334589970433644e+00 1.153688519749848762e+00 -9.917389709904453454e+00 0.000000000000000000e+00
-4.319535029630534595e+00 5.777854234271195821e+00 2.785452356118899075e+00 2.626073268841970787e+00 -6.764632709106106478e-01 -8.393103806523974697e+00 0.000000000000000000e+00
-7.116588265882500153e+00 -4.707789212006985302e-01 3.121349519910487924e-01 -2.071879809826869145e+00 1.870762755087374662e+00 -7.892453810641304024e+00 0.000000000000000000e+00
-3.671003785056968227e-01 -5.462411848395672953e-01 6.306299349848584201e-01 1.316666055162882820e+00 1.133314687674707999e+00 -7.506643726565882524e+00 0.000000000000000000e+00
-1.958620340087948497e+00 1.097514946339403163e+00 2.754361272512159342e+00 5.101693237959326055e-01 3.623181383508053965e-01 -7.123572239112564652e+00 0.000000000000000000e+00
-2.222855652470342669e+00 7.872665606147044581e-01 4.396334804427610266e+00 1.315902350276864308e+00 1.044828261261688152e+00 -7.042285530990385567e+00 0.000000000000000000e+00
-8.089411564792609255e+00 6.006820568470241817e+00 4.625513994442417065e+00 -5.106098433016478255e-01 1.810659904508766571e+00 -6.773576554006015549e+00 0.000000000000000000e+00
7.344512406909854407e-01 6.629325263613312202e+00 5.447509047660075154e-01 -2.048462300082448451e+00 -6.972611199889623412e-01 -6.638709102514800620e+00 0.000000000000000000e+00
-2.293885439499906642e+00 -1.624641134361684447e+00 4.830471896840264900e-01 -1.327902897373257618e+00 8.110158611944582319e-01 -6.428157246294854410e+00 0.000000000000000000e+00
-6.231249270548928632e-01 -1.168133784380601115e-02 2.379962706659985106e+00 -1.847729064700014190e+00 -3.370317978595327446e-01 -6.272618183514611090e+00 0.000000000000000000e+00
-4.066037891514463487e-01 5.671278485524537061e+00 1.419264133921830817e+00 -1.969802111032265435e+00 -9.217946931986177317e-01 -6.235040014319380042e+00 0.000000000000000000e+00
-4.210740557268448647e+00 -3.416396207145096509e-01 3.734155964034681308e+00 -2.028516769838863976e+00 6.326337880863696084e-01 -6.162197358939780045e+00 0.000000000000000000e+00
