# logn beta gamma alpha delta logL logPrior
-1.893441226775700770e+01 -1.477114941434647832e+00 3.262999944719313206e+00 1.713587837592567276e+00 1.694899133832491467e+00 -1.156575960682331861e+01 0.000000000000000000e+00
-1.638327522409940684e+01 8.994486290085818014e-02 3.955058950278082186e+00 2.550413460765024176e+00 4.420313504692987561e-01 -1.156575873821330980e+01 0.000000000000000000e+00
-1.948278358488995821e+01 3.484186341570476575e+00 1.209061187773707191e+00 -4.997001807390065165e-01 1.848504435362357867e+00 -1.156575748519681035e+01 0.000000000000000000e+00
-1.441800944684048247e+01 -6.583320724639449839e-01 2.828986774638992951e-01 1.495534698118561989e+00 8.735164452330616003e-01 -1.156575637746876772e+01 0.000000000000000000e+00
-1.667885995970663160e+01 2.408449439970550277e+00 3.761724450464065672e+00 -2.462109971529213404e+00 9.191578611248634179e-01 -1.156565058098107990e+01 0.000000000000000000e+00
-1.290194020659517449e+01 3.031011999260070588e+00 1.705593496236246454e+00 6.327023378677959498e-01 9.474376427369796128e-01 -1.156563728721786433e+01 0.000000000000000000e+00
-1.374320189009624471e+01 -2.002726888864251598e-01 4.183653055518219865e+00 -1.450474566411863009e+00 8.801550400670398178e-01 -1.156552934670138200e+01 0.000000000000000000e+00
-1.561464824463332235e+01 5.020234196138599891e+00 2.180029481838240191e+00 -2.798313865022419300e+00 1.346044132635040524e+00 -1.154477839804834893e+01 0.000000000000000000e+00
-4.706609964733408979e+00 9.123792536226771333e-01 2.907288364311510609e+00 2.144151472671638192e+00 -3.483829348582490049e-01 -1.115397130723922814e+01 0.000000000000000000e+00
-5.805242794665685935e+00 4.742079423227476553e+00 1.939814327123789983e+00 -3.935279440712861065e-01 5.247356066762172422e-02 -1.112794792151656154e+01 0.000000000000000000e+00
-4.847888885359808775e+00 1.027246556150267720e+00 3.691565642616892795e+00 2.684607756518468946e+00 1.312841579864527652e-01 -1.087225768696270478e+01 0.000000000000000000e+00
2.219495757336756303e-01 -1.609598571633669817e+00 3.565279848032709697e+00 -2.579790969723697813e+00 -8.308744035165183117e-01 -9.299789830802593471e+00 0.000000000000000000e+00
-4.521134265218091031e+00 1.029155028878717126e-02 1.745415032311151471e+00 -1.555103623037953353e+00 4.902417326611108739e-01 -9.249839302633617422e+00 0.000000000000000000e+00
-4.217863298823339768e+00 2.884496938098449093e+00 3.243758190618549087e+00 2.603074285419459954e+00 1.725985911994756927e+00 -8.570303374701234489e+00 0.000000000000000000e+00
-5.198768713798679109e+00 6.067853422969651689e+00 1.436788784013579123e+00 -8.757843508170998215e-01 2.407434628106583652e-01 -8.457218438641261216e+00 0.000000000000000000e+00
-3.490122999293796990e+00 3.469016896753359447e+00 3.801613882453886095e+00 -2.415566456363783754e+00 -2.144121081050715527e-01 -8.441908392870812960e+00 0.000000000000000000e+00
-9.887219179010642733e+00 4.374687191194208680e+00 2.309550155611765021e+00 -1.357980305589512326e+00 1.908856006135116523e+00 -8.376768245599736318e+00 0.000000000000000000e+00
-5.603811643062708292e+00 6.392734578459966066e+00 2.540036578827368441e+00 2.133543706250356831e+00 8.807052312373356284e-02 -8.374880244359093950e+00 0.000000000000000000e+00
-7.154117746003811007e+00 1.029346685790135885e+00 4.901955669284120631e+00 -6.506606266979757525e-01 1.936705431282494061e+00 -8.355462250074207731e+00 0.000000000000000000e+00
-4.232050947786938799e+00 4.725326070180220661e+00 3.249782060873840805e+00 1.307631481874371282e+00 7.258919385782877653e-02 -8.081830549400288888e+00 0.000000000000000000e+00
-8.532143126191698457e+00 -1.772527427652957677e+00 2.856902680865975430e+00 -2.614470027036989386e+00 1.326541415886071773e+00 -7.927497446945158899e+00 0.000000000000000000e+00
-3.482669754903890524e+00 3.926742026103558381e+00 1.353343212222009262e+00 -2.061916711068429997e-01 1.985553884973873529e-01 -7.852509654220511948e+00 0.000000000000000000e+00
-3.992799906344162153e+00 6.609808050764713450e+00 4.338667794543088263e+00 1.270103941427656480e+00 1.079444297834576183e+00 -7.699196702725261687e+00 0.000000000000000000e+00
-5.782746872375629010e+00 4.471142314778897009e-01 3.336505632811154864e+00 -9.379477330107068855e-01 1.305203190128148227e+00 -7.685828317006792254e+00 0.000000000000000000e+00
-2.877832726227238958e+00 3.088021168356190671e+00 3.990202596459167417e+00 -1.780695670702306055e+00 -2.241220769271410340e-01 -7.657406287930339950e+00 0.000000000000000000e+00
2.001748493475466462e-01 -9.239348134056977191e-01 2.872400287142911068e+00 -9.639955058985062442e-01 -8.640551966616220048e-01 -7.570084989943222098e+00 0.000000000000000000e+00
-1.066016594402082518e+01 5.931389876522127125e+00 4.843396753591205695e+00 -2.926510123577721778e+00 1.029936182565280856e+00 -7.427806135668036269e+00 0.000000000000000000e+00
-2.069458588590391113e+00 9.406367427761058719e-01 2.358959293557462367e+00 -8.210645106466194498e-01 -1.093567907430649244e-01 -7.390461382131707779e+00 0.000000000000000000e+00
