# logn beta gamma alpha delta logL logPrior
-4.899060608716159670e+00 1.510586751501605818e-01 8.405944290356849313e-01 -1.610336040278126379e-01 2.139448115328484779e+00 -4.107002100735380523e+00 0.000000000000000000e+00
-2.066589669053534362e+00 3.197159603653645377e+00 4.616590985351449739e+00 2.630427220153525258e+00 -1.550692331601301321e-01 -4.083989510690376079e+00 0.000000000000000000e+00
-4.083695385183577997e+00 8.666877647832506026e-01 4.407604705437979220e+00 4.700227411102111397e-01 2.259643542907998182e+00 -4.083175295044075170e+00 0.000000000000000000e+00
1.512094079511267619e+00 -1.530048250286624389e+00 1.205666624652847352e+00 -2.863970786569588256e+00 -7.650799169786242082e-01 -4.075905435621300477e+00 0.000000000000000000e+00
-8.267887786876306766e-01 4.637074304012420711e-01 4.649473672812438174e+00 -1.625288129435900730e+00 -2.786592063805849451e-01 -4.066147031532691081e+00 0.000000000000000000e+00
-1.086491150666646277e+01 5.514837053515624810e+00 2.884702987801776253e+00 -1.316237697242162552e+00 2.731503336345725952e+00 -4.058690462276582700e+00 0.000000000000000000e+00
-2.165050726631874589e+00 5.037478939460009464e+00 1.386790472234274318e+00 2.623363364473890513e+00 -6.770427311997252451e-01 -4.056604156090007685e+00 0.000000000000000000e+00
-5.556902007218431194e+00 6.855836592685935926e+00 3.765036291360563947e+00 1.125018904032422551e+00 1.691087627291592455e+00 -4.054720085666768448e+00 0.000000000000000000e+00
-1.811514746922358476e+00 2.993721055470868642e+00 2.164352402237015305e+00 2.587423786920701740e+00 2.131000591510275322e-01 -4.052061803528538952e+00 0.000000000000000000e+00
-1.114175968381801063e+01 5.743197980072659803e+00 1.783903236353418187e+00 -2.287804563490038579e+00 2.055189651787861393e+00 -4.049379514908824085e+00 0.000000000000000000e+00
-7.138173617246847513e+00 6.390431791358119895e+00 1.612083773547623222e+00 -2.764805606812498873e+00 5.688049815500311190e-01 -4.042199790768464140e+00 0.000000000000000000e+00
-3.256883211256039079e+00 3.540709167481680186e+00 4.901614918840589752e+00 2.079238322118926341e+00 2.171525054330296189e+00 -4.024862703577532841e+00 0.000000000000000000e+00
-7.201190958462879710e-01 -7.995324271514572256e-01 2.955949427532685192e+00 2.011207065592791832e+00 1.295670646906982082e+00 -4.024493806182118938e+00 0.000000000000000000e+00
-7.818641031022687038e+00 -1.784486604699723422e+00 7.677465905291711579e-01 -2.763624025011116814e+00 1.586936667215257835e+00 -4.023955810130456001e+00 0.000000000000000000e+00
-8.383458050188453470e+00 1.947166494000534265e-01 3.496020452062613693e+00 -2.658456603979889366e+00 1.431356457183244224e+00 -4.008612838721007599e+00 0.000000000000000000e+00
-3.975607580479423753e+00 2.547811997835081055e+00 3.201736208895138880e+00 -3.351982187477438035e-01 1.535298055940253592e+00 -4.005949994944788095e+00 0.000000000000000000e+00
2.057609757814207740e-01 4.423795081205131652e+00 2.212092419302319757e-01 -3.666400147875763516e-01 -9.781140829858425700e-02 -3.997536233615352153e+00 0.000000000000000000e+00
-1.317343393466063617e+01 -6.315571371818788915e-01 4.099299507087668104e+00 -2.997841808322200929e+00 2.341051446913616108e+00 -3.978800386518307253e+00 0.000000000000000000e+00
-3.727204301686106280e+00 5.609627491504739716e+00 4.009046243596159798e+00 -8.039379918570771499e-01 -1.366716550798334484e-02 -3.966711060648482334e+00 0.000000000000000000e+00
-6.292111217333438589e+00 6.998695265253230602e+00 4.293850786217745075e+00 -1.850988437184676538e+00 3.335608730256864884e-01 -3.966237110000089938e+00 0.000000000000000000e+00
-2.199470611134974440e+00 -1.118988755039301841e+00 3.233017412757881903e+00 7.633521067259433357e-01 2.421678257255043487e+00 -3.951143364025519134e+00 0.000000000000000000e+00
-1.566803484328078699e-01 8.898126164151095585e-01 2.565009570495685232e+00 4.382036653206335952e-01 -7.817509353996625610e-01 -3.945954849452133484e+00 0.000000000000000000e+00
-3.390714752425485035e+00 2.870899613345311963e+00 1.889129850403041377e+00 -2.951257436949751845e-01 1.289797879538762126e+00 -3.939264099339431446e+00 0.000000000000000000e+00
-8.947336718458467786e+00 2.935645608892409886e+00 4.374894390168642566e+00 -2.344303586801369743e+00 1.748437739452204820e+00 -3.933325498153394495e+00 0.000000000000000000e+00
-5.165426790482731789e+00 6.660749430860256837e+00 4.748128200661405174e+00 1.965784885794416459e+00 2.539521169587257265e+00 -3.912312860817479976e+00 0.000000000000000000e+00
-9.760193501352197876e-01 -1.351360107581508485e+00 3.874935380693360187e+00 2.444978722304401941e+00 -9.858288012828537727e-01 -3.901886728224433387e+00 0.000000000000000000e+00
-3.480189963667453146e+00 -2.349446728956516850e-01 1.834241732520985435e+00 -1.631746290479481276e+00 9.040107493240493453e-01 -3.900242969922793623e+00 0.000000000000000000e+00
-1.087801231021684467e+00 3.158813019762310326e+00 4.956241158548743364e+00 -2.912393173442973104e-01 -9.630002138991770877e-02 -3.895090305191710289e+00 0.000000000000000000e+00
8.302273636472341511e-01 9.599753380257658453e-01 2.824925311686545371e+00 -1.571016180234537263e+00 -8.019996542259476557e-01 -3.894517898021057967e+00 0.000000000000000000e+00
-1.174708105260521718e+00 6.097899484731193809e+00 4.150534175522028413e+00 -1.940074155123659772e+00 -9.314582769748351865e-01 -3.890412186334612610e+00 0.000000000000000000e+00
-7.746287906592019823e+00 6.471945301034342179e+00 2.759985246797854508e+00 -7.367655191439164142e-01 1.509813804259246384e+00 -3.884432080731841097e+00 0.000000000000000000e+00
-4.346536391040300096e+00 6.083819166162343528e+00 3.910358083905174809e+00 4.447388849114280451e-01 3.742420896273209729e-01 -3.879746748105344256e+00 0.000000000000000000e+00
-2.272855952963091397e+00 5.138695054359539993e-01 2.786035894141301483e+00 2.687616830534167445e+00 1.756830161239231192e+00 -3.878372202103602895e+00 0.000000000000000000e+00
-2.056052065828599229e+00 6.080804009773608243e-01 1.318474417189523296e+00 2.540815369174981964e+00 8.010829443767124580e-01 -3.875355541134548609e+00 0.000000000000000000e+00
-1.565747155295617032e+00 -1.912543296245016178e+00 1.307520092550864321e+00 -1.118265671529868444e+00 1.868432058373383220e-01 -3.871921423358331449e+00 0.000000000000000000e+00
-1.567983623777930990e+00 3.246110830456137464e+00 4.516478738563894701e+00 1.883999966764043021e+00 -2.384519203418910827e-01 -3.855482110777010085e+00 0.000000000000000000e+00
-4.405698250044510544e+00 1.958990966533449951e+00 2.477296582505402522e+00 -1.495660824664557076e+00 1.076465694165031017e+00 -3.848524285276176737e+00 0.000000000000000000e+00
-1.527012490880869766e+00 1.249018109398921439e+00 1.500532447378985834e+00 -1.538991415235848370e+00 -5.527790098580109834e-02 -3.828233021107055212e+00 0.000000000000000000e+00
-2.570898413097759239e+00 6.606742467568736288e+00 4.677700534113303554e+00 -2.950666111886963705e+00 -6.307637083255925869e-01 -3.811800713148439268e+00 0.000000000000000000e+00
-5.225637642448139886e+00 5.675780784833110992e-01 4.182163450973705565e+00 -4.703370948096784465e-01 2.280605971855796277e+00 -3.810961429550092650e+00 0.000000000000000000e+00
-7.396564532623700394e+00 5.631793455002929605e+00 1.587578574479170612e+00 -2.189296278378539906e+00 9.292689300324131763e-01 -3.802520113280957847e+00 0.000000000000000000e+00
-3.427558700798772673e+00 -9.584763953013016868e-01 2.278286265774948638e-01 -2.013335408472075816e+00 6.092506578427556718e-01 -3.802296905855607978e+00 0.000000000000000000e+00
-2.721664998570488159e+00 4.909330896395360355e+00 2.820501613397426777e+00 2.280517533433188859e+00 2.035049870863734067e-01 -3.784745361961527443e+00 0.000000000000000000e+00
-2.007262932967343261e+00 1.624079319377709663e+00 4.913362213746638396e+00 6.369731592632046357e-01 1.327655201079617209e+00 -3.780851737598403872e+00 0.000000000000000000e+00
-1.196899095204272712e+01 4.637518450237274159e+00 2.027127205984784908e+00 -2.084507157382715192e+00 2.292137587449027514e+00 -3.775606022189220479e+00 0.000000000000000000e+00
-1.934854210526768759e+00 1.614514475106517688e+00 3.044834827842335834e+00 -1.207187611965750529e+00 4.269486677254457491e-02 -3.768052390414051267e+00 0.000000000000000000e+00
-1.180658363974817071e+01 2.615858247622538268e+00 2.656648196076370372e+00 -1.748983742275489028e+00 2.764682188405044982e+00 -3.759779769689283402e+00 0.000000000000000000e+00
-8.888878305133165458e-01 -7.538864108102216743e-01 3.317708903416993760e+00 1.551796074593650321e+00 -5.152051526145231541e-01 -3.745194041886202641e+00 0.000000000000000000e+00
-4.286289298847568929e+00 5.442646993175328518e+00 4.819366198405983681e+00 6.496968634269620901e-01 6.969942893831497788e-01 -3.744959147210924044e+00 0.000000000000000000e+00
-5.416891642958192143e+00 5.400414894964087331e+00 4.828327245396602407e+00 -1.570114651915797799e+00 4.488740358289167176e-01 -3.743853004368574489e+00 0.000000000000000000e+00
-2.937832683508100118e+00 5.133009891038712524e+00 2.310409743595154275e+00 2.434086275352349560e+00 9.833122829557011668e-01 -3.741824322463023655e+00 0.000000000000000000e+00
-1.464953884579626830e+00 -1.503837943062560800e+00 3.284893658997133592e+00 4.344031761149875770e-01 1.263303848458480205e+00 -3.704558324277316128e+00 0.000000000000000000e+00
-1.813764610058755444e+00 1.197530011859492705e+00 8.480941224132851897e-01 1.667393145889227157e-01 1.131048088039856792e+00 -3.704179135545807799e+00 0.000000000000000000e+00
-2.687741175726974685e+00 1.147146977336932494e+00 3.225260874046592896e+00 -1.623520712948553379e+00 2.543017893128681761e-01 -3.668838702862115220e+00 0.000000000000000000e+00
-8.217624314848637201e-01 -1.550353070837287905e+00 2.534174229157164060e+00 6.396778651631511714e-01 8.780380175867716908e-01 -3.660476731691560737e+00 0.000000000000000000e+00
-3.105145731514581620e+00 1.856623085393097172e+00 1.271604284547128927e+00 7.329707476491960083e-01 1.804648838569957503e+00 -3.646152245999977115e+00 0.000000000000000000e+00
-7.284563356955415792e-01 2.757550247349530026e-01 2.379157117828651913e+00 -1.950857651416520566e+00 -1.658614881594873414e-02 -3.644756455486534819e+00 0.000000000000000000e+00
-2.794806486879688467e-01 4.899300049859924400e+00 3.325241584245405946e+00 -1.325094772070986249e+00 -7.192873756101715310e-01 -3.638379250788269292e+00 0.000000000000000000e+00
-4.818334542850934099e+00 5.856383045507198126e+00 4.197751325534165190e+00 1.210240165167815407e+00 1.666683402931382174e+00 -3.633444610230093019e+00 0.000000000000000000e+00
-4.890508243989334369e-01 2.077833523584630360e+00 4.821217160505891997e+00 -2.490693163163121948e+00 -5.213476080177301686e-01 -3.622748905968868893e+00 0.000000000000000000e+00
-3.063435479060809818e+00 -7.445020620520838017e-01 3.786198119985249022e+00 -1.499408007305745194e+00 8.279958364949557836e-01 -3.619279846822112567e+00 0.000000000000000000e+00
-1.004747144202736253e+00 1.135946388378511918e+00 1.740593122486375766e+00 -2.654705069710849408e+00 -2.928338514558228578e-01 -3.613242581327348102e+00 0.000000000000000000e+00
-8.599323335083026709e-01 1.199851933842643881e-02 9.072865692290984496e-01 9.076823005937230127e-01 1.021850167141616694e+00 -3.601768961553668991e+00 0.000000000000000000e+00
-5.000628814823009805e+00 4.046429136013397487e-01 3.564104855759814949e+00 -2.662131830296655011e+00 8.665005194399942878e-01 -3.589468218530167398e+00 0.000000000000000000e+00
-2.255131424735782542e+00 6.290705567003067600e+00 3.123114112442284984e+00 -2.787246392102428416e+00 -6.137686728478336518e-01 -3.586245924059477730e+00 0.000000000000000000e+00
-1.756556547076433006e+01 6.772470112249143526e+00 4.931422387893367620e+00 -2.536047831216664328e+00 2.906263182473193929e+00 -3.585482896129011721e+00 0.000000000000000000e+00
-2.199179722375724566e+00 3.091492388804439440e+00 6.622523193505533978e-01 2.218481517929032698e+00 1.591838126098890971e+00 -3.584893974783054382e+00 0.000000000000000000e+00
-2.171126722189974156e+00 3.166372439405805927e+00 2.969932538433921909e+00 2.694144286131061605e+00 1.017182779495337419e+00 -3.583995044892544612e+00 0.000000000000000000e+00
-3.653187550426123309e+00 3.968741922601800365e+00 3.552771988178337725e+00 1.013499058773443151e+00 1.416009404199071620e+00 -3.576172912373612789e+00 0.000000000000000000e+00
-3.107760129868228027e+00 2.414431935730623202e+00 4.625780411041704454e-01 -7.176861433435097748e-01 7.973462634560530837e-01 -3.567698596838636327e+00 0.000000000000000000e+00
-3.402130676563358769e+00 6.333650026042372261e+00 1.412037007371462538e+00 2.691424733293109384e+00 5.011389615716729251e-01 -3.564855223622003688e+00 0.000000000000000000e+00
-3.964913861602971767e+00 5.090248534800078772e+00 6.669375887606678877e-01 8.887794349273504813e-02 1.270693780841850362e+00 -3.563439963630307794e+00 0.000000000000000000e+00
-2.306028631409418050e+00 6.853186474343297974e-01 3.619070354267657663e+00 1.238153785368385940e+00 1.662609219850429199e+00 -3.559110852739227226e+00 0.000000000000000000e+00
-1.625748313417484603e+00 1.890839204386638661e+00 2.519811117595357253e+00 -1.430628914368909044e+00 2.099015504300294488e-01 -3.552305005466934507e+00 0.000000000000000000e+00
-2.966107358251715453e+00 3.505957109205076527e+00 2.796827841454771146e+00 1.874772292127279583e+00 1.399327256649107065e+00 -3.547303714523984297e+00 0.000000000000000000e+00
-8.674603740454263079e-01 5.235373243050339020e+00 1.006696996884679285e+00 -4.567094607097159087e-01 -3.146514754595708396e-01 -3.528773449949229146e+00 0.000000000000000000e+00
-2.956181640451829296e+00 3.358844408765947254e+00 2.453334084919258196e+00 2.308600311148714557e+00 1.256447714173952956e+00 -3.526498084126557409e+00 0.000000000000000000e+00
-1.285266447331093254e+01 2.623531072863015012e+00 6.266126800142609587e-01 -2.381736873834682466e+00 2.657576798176051192e+00 -3.525726472846458570e+00 0.000000000000000000e+00
