# logn beta gamma alpha delta logL logPrior
-3.530256872095692167e+00 -1.392530764844338298e-01 5.952225420961950730e-01 -2.920554074102415520e-01 1.993502704878757470e+00 -8.834162586429163966e+00 0.000000000000000000e+00
-3.255548668657085809e+00 -1.182895226983063708e+00 4.270042996273476277e+00 -1.813044344819815690e+00 8.555708061363052064e-01 -8.220947972324001540e+00 0.000000000000000000e+00
-1.668737151906076299e+00 -1.061331475481144704e+00 4.619555326125080796e+00 -3.558420837055891600e-02 1.119185999029517431e+00 -7.841539898080791993e+00 0.000000000000000000e+00
-6.159537697465723660e+00 6.549359336170499368e+00 3.259103847878709881e-01 -5.337017173917257828e-01 1.919031672097930352e+00 -7.514685990537027571e+00 0.000000000000000000e+00
-5.874219804808961776e+00 3.050100751087310602e+00 4.256228337794767391e+00 -1.794656251618802489e+00 8.650872748025533188e-01 -7.008485868395744944e+00 0.000000000000000000e+00
-2.778183458243907111e+00 -4.294368138744649177e-01 2.259723054782000862e+00 -2.955020234733192641e+00 3.745723008275959054e-01 -6.689445220541315074e+00 0.000000000000000000e+00
-2.831706707061072414e+00 -9.283052840118952709e-01 4.642023163610254244e+00 -2.797914744513605445e-01 8.541432260209135263e-01 -6.324900693268727281e+00 0.000000000000000000e+00
-6.351219087593101165e+00 5.619283339729633120e+00 4.162697054502940475e+00 -4.189498887328418908e-01 1.828399819646812974e+00 -6.295376684314699212e+00 0.000000000000000000e+00
-1.029362767572547854e+00 5.164060539374241365e+00 2.922479207433323456e+00 -1.788117644344044965e+00 -8.190473011916696855e-01 -6.258655411672994440e+00 0.000000000000000000e+00
6.089718044813375863e-01 1.835887058850333098e+00 3.954527630276276184e+00 -1.857374407456159060e-01 -5.991150615315063988e-01 -6.013841099278092628e+00 0.000000000000000000e+00
-1.070404473632361908e+00 4.675724742362538322e+00 4.930588521102184707e+00 -1.643767931157217532e+00 -4.144716015328956948e-01 -5.907447453471871057e+00 0.000000000000000000e+00
-4.389670248027606192e+00 -6.335085237409524561e-01 3.541980403240576614e+00 -7.490096655531303105e-01 1.795275081891620994e+00 -5.850812124656528113e+00 0.000000000000000000e+00
-4.758523125388191666e+00 -5.314775871421891784e-01 2.547776791243093752e-01 -1.182644707035552578e+00 1.750862588809061648e+00 -5.734500028435228991e+00 0.000000000000000000e+00
-3.727045816379852994e+00 6.922568738567441038e+00 7.007956638028809415e-01 -2.316854910294800618e+00 -8.472341034054586828e-03 -5.700945382872328437e+00 0.000000000000000000e+00
-4.446419612236573116e+00 5.303024408775922183e+00 1.602889397444176245e+00 -1.791297730110382957e+00 6.099053177288008554e-01 -5.583208940012058363e+00 0.000000000000000000e+00
-1.549035448239596269e-01 3.951838629893465793e+00 3.717787983489361014e+00 -1.489060180005374212e+00 -9.242681050362977491e-01 -5.532538344766581240e+00 0.000000000000000000e+00
-4.419510379269117273e+00 -1.382670896227912172e+00 3.068675159746741876e+00 -7.548574405532554321e-01 1.843240505829008669e+00 -5.479401683479008689e+00 0.000000000000000000e+00
-1.659261943429882535e+00 5.630475029334329307e+00 3.039286768098320213e+00 -9.433252197246544402e-01 -8.061626476868661850e-01 -5.460308570277156548e+00 0.000000000000000000e+00
7.206861006503885170e-01 6.236336481824519495e+00 5.842069026064204973e-01 -2.160097181890307638e+00 -9.952477151200730399e-01 -5.431121991906513458e+00 0.000000000000000000e+00
-8.509322121644775194e+00 -1.768486030664139452e+00 9.724823859510729473e-01 -2.708680797791447770e+00 1.781744674127090144e+00 -5.284127976349588529e+00 0.000000000000000000e+00
-9.271407559434477363e+00 -3.943467545324040591e-02 1.288591340766098714e+00 -2.175121277413139875e+00 1.936596315828958748e+00 -5.280606391171980718e+00 0.000000000000000000e+00
-9.620590717680291837e-01 3.708415465240857412e+00 3.354336671431779049e+00 -2.278232277132458794e+00 -5.916018959818905021e-01 -5.277843983289057128e+00 0.000000000000000000e+00
2.388235920633293485e+00 -1.295401495814615611e+00 3.553030768056878452e-01 -1.392966377130695266e+00 -7.509461466355942250e-01 -5.189060833731836020e+00 0.000000000000000000e+00
-7.189938811864069024e+00 2.131199453823806600e+00 3.685882047708778586e+00 -2.128123595233058385e+00 1.534004072919025852e+00 -5.189020922250715095e+00 0.000000000000000000e+00
4.186185218238486772e-01 -6.734770633590176914e-01 6.427018864349273164e-01 -7.024028501504073208e-02 -7.143051537687692409e-01 -5.159743507332042789e+00 0.000000000000000000e+00
-2.487973656084794705e+00 5.487507698014404411e+00 3.042226997103325115e+00 -1.326873956332586424e+00 -5.924274030086362774e-02 -5.154491931423896389e+00 0.000000000000000000e+00
-6.596491012742114357e+00 6.303091358890748452e+00 4.204003345636934341e+00 -2.489767614846149613e+00 6.491623373363311078e-01 -5.095242060395191785e+00 0.000000000000000000e+00
-8.999308007029013012e+00 6.190243784655027781e+00 3.781574992172618721e+00 -2.210443518425930787e+00 1.089679918777228140e+00 -5.033888674696039622e+00 0.000000000000000000e+00
-3.192696304523650053e+00 5.951383938043163901e+00 2.613532705312637816e+00 -1.416187297484883256e+00 8.791829496995187676e-02 -4.990499097248905613e+00 0.000000000000000000e+00
-1.287878058347783128e+00 3.429245069037889060e+00 3.271592295529041294e+00 -2.322902547419670505e+00 -4.680156873040828835e-01 -4.990060126873170354e+00 0.000000000000000000e+00
-5.099327287907374995e+00 5.099586231742600617e+00 4.705336653934488744e+00 -9.686740223751338918e-01 9.965498481976778899e-01 -4.972389050403971389e+00 0.000000000000000000e+00
-5.977270501837209871e+00 7.182947633990237613e-01 4.029732889246480099e+00 -1.190616761303084248e+00 1.508278412296134352e+00 -4.972364721832475354e+00 0.000000000000000000e+00
-2.370199177482847031e+00 4.089663601829706785e+00 2.939664582780397772e+00 -2.105711127467967181e+00 4.339847609905220227e-02 -4.953062065158548855e+00 0.000000000000000000e+00
-1.011703035333403911e+01 4.620815799591370343e+00 6.731847851591663545e-01 -2.556284273882322822e+00 1.722164140335455507e+00 -4.943519627529388671e+00 0.000000000000000000e+00
-6.499263787599875997e-01 1.793513058559652595e+00 4.953734363942499996e+00 -1.543509886000755671e-01 -5.797626702006899446e-01 -4.929271031933518010e+00 0.000000000000000000e+00
-1.116090922068273450e+01 3.874091843861088513e+00 2.285398789517745222e+00 -2.467437503797143439e+00 1.898496784465923737e+00 -4.914324678851353490e+00 0.000000000000000000e+00
-3.823838936602468319e+00 6.942433363200272822e+00 1.234833377782216468e+00 -6.150722417713172518e-02 7.382694384716752545e-01 -4.886869173638000774e+00 0.000000000000000000e+00
