# logn beta gamma alpha delta logL logPrior
-3.866057829306963178e+00 5.085556452613277045e+00 3.884927282341915866e+00 1.919521560937038629e+00 -2.386765006127147259e-01 -9.600374358968768007e+00 0.000000000000000000e+00
1.991096623326367165e-01 -5.831133110727697577e-01 2.915105375500064877e+00 -2.859357008439363579e+00 -5.763623677779594612e-01 -9.015267890526846628e+00 0.000000000000000000e+00
-5.634111221307871453e-01 1.623185113581177230e+00 2.775394850638062128e+00 2.244383126631461778e+00 -6.708775367258206224e-01 -7.440332708157913366e+00 0.000000000000000000e+00
-1.079621422380902729e+01 5.289107008386899622e+00 3.461124515968793780e+00 -2.385762421921453047e+00 1.594386348830973743e+00 -6.484199601607417485e+00 0.000000000000000000e+00
-3.223561214353710902e+00 2.600412359476422353e+00 4.806410656374048962e+00 2.813067015802741544e+00 8.873929760740686401e-01 -6.249554172995384960e+00 0.000000000000000000e+00
-1.128954975170184616e+00 2.125364876848839124e+00 9.819249118565485102e-01 -1.822915335196005904e+00 -2.609120787942671993e-01 -6.133686447728513791e+00 0.000000000000000000e+00
-5.010276658012782214e-01 1.610590838421288362e+00 4.860974478811553645e+00 2.355728884817240409e+00 -9.483635859154111447e-01 -5.955087441161284190e+00 0.000000000000000000e+00
-6.264576375266340591e+00 6.947971043253400758e+00 4.023455094782014463e+00 -1.331308019341346238e-01 9.224462402547191076e-01 -5.819692621728585813e+00 0.000000000000000000e+00
-5.514993576436691747e+00 4.166923742365852057e+00 2.192828640927632300e+00 -9.862665581131698778e-01 1.480427071494393232e+00 -5.725013638439770958e+00 0.000000000000000000e+00
7.232665732526351032e-01 -2.176937186388542833e-01 3.413496022199513646e+00 -5.296151177046738434e-01 -8.858568146849910008e-01 -5.691586457608283744e+00 0.000000000000000000e+00
1.109836998280891329e+00 5.817976069728058031e-01 2.192945214737889614e+00 3.853768206595693524e-01 -7.993852887412796759e-01 -5.645341622259312686e+00 0.000000000000000000e+00
5.165402986455716050e-01 3.356214499456199540e+00 4.939570539784570169e-01 -8.656102888988794763e-01 -8.125028770734473715e-01 -5.610872748513743957e+00 0.000000000000000000e+00
-2.242815935088673385e+00 5.360595898114597802e+00 1.804777761882152998e+00 -3.219895672153580968e-01 1.455589556663321460e-01 -5.588632583741024895e+00 0.000000000000000000e+00
-1.938939332902609891e+00 2.781804638701065868e-01 4.097039842970075618e+00 4.560420193605256856e-01 5.194143711692508214e-01 -5.574962082170122457e+00 0.000000000000000000e+00
-2.615825121149200072e+00 6.085626899095191611e+00 1.000505486844061931e+00 1.501339289365946295e+00 1.629743080530623445e+00 -5.572521788758606931e+00 0.000000000000000000e+00
-1.798858942764101743e+00 -1.001553459305700944e+00 3.311182106611633813e+00 7.135490071919765587e-01 7.274335568501479887e-01 -5.447166678255267236e+00 0.000000000000000000e+00
-6.102135465108076140e-01 1.979576653581751389e+00 4.464993868807384914e+00 -9.548131606649914449e-01 -8.209341248857671136e-02 -5.436600277302509276e+00 0.000000000000000000e+00
