# logn beta gamma alpha delta logL logPrior
-1.083770034045500763e+00 1.958854249287332872e-01 1.174406092519983069e+00 2.037524433105390109e+00 -9.663139125502518967e-01 -1.025189885576918414e+01 0.000000000000000000e+00
-2.475507779453501200e+00 6.981677127441946240e+00 3.444978366988753926e+00 -1.398601207614232234e+00 -3.496555682134587784e-01 -8.780272268916588629e+00 0.000000000000000000e+00
-1.382816307956799662e+01 3.771726193956875584e+00 3.651049913988344109e+00 -1.940542057796240005e+00 2.919863543185969412e+00 -7.531721112292323994e+00 0.000000000000000000e+00
-4.925158661678947780e-01 1.105852700201757299e+00 9.810421852258626174e-01 7.611953145860854697e-01 -7.177831675495047747e-01 -7.451269473776489960e+00 0.000000000000000000e+00
-1.022210512573641372e+00 -2.853330626188222419e-01 2.970509979676970946e+00 1.439349442497902531e+00 2.506306493653613909e+00 -7.182040849220795664e+00 0.000000000000000000e+00
-9.367533038836057813e+00 4.313379900117507049e+00 4.976711137317750833e+00 -1.682280585130109474e+00 2.140475981606230427e+00 -6.880997904826656963e+00 0.000000000000000000e+00
-1.934708805765309680e+00 3.605155662985741749e+00 4.308729241848498148e+00 1.031261880754448468e+00 7.819593377087247221e-01 -6.714000536150406262e+00 0.000000000000000000e+00
-7.684146153788402600e+00 1.933608476709949509e+00 2.390936394404453047e+00 -2.067237014500933334e+00 1.412322076015223749e+00 -6.667412436480211646e+00 0.000000000000000000e+00
-3.447215894599036989e+00 5.881111840580110162e+00 2.763852120666967060e+00 2.597985852182441047e+00 2.161362969641285048e+00 -6.609547550306221098e+00 0.000000000000000000e+00
-1.601601776650277031e+00 1.901706564310076786e+00 4.198035237980559664e+00 1.555207068918959212e+00 2.840266178359855953e+00 -6.420953644488331058e+00 0.000000000000000000e+00
-4.691453826300071128e+00 4.526388733665389630e+00 4.104817597410278296e+00 6.247063228514224686e-01 1.510743357129293196e+00 -6.415147900597121478e+00 0.000000000000000000e+00
-3.698514786684600875e+00 2.850164198412053818e+00 2.511047775752003108e+00 -6.445852098783471096e-01 1.207424051671847520e+00 -6.079248052043422668e+00 0.000000000000000000e+00
-1.347068927001509042e+00 -4.813724251546553923e-01 2.865414916711168214e+00 5.036591197241790940e-02 1.219659341821511256e-01 -5.996148320284713229e+00 0.000000000000000000e+00
-7.072536492845680201e+00 3.500217083757615200e+00 3.319356399856700612e+00 -2.761152091113291185e+00 8.074897830181526626e-01 -5.948698248749316519e+00 0.000000000000000000e+00
-3.402618904305121816e+00 -1.896222378402532716e+00 1.653944488586942319e+00 6.989046962830459675e-01 2.511618001482019746e+00 -5.845785739069678577e+00 0.000000000000000000e+00
-1.063722862707445316e+00 -7.303828769343281291e-01 2.809623357427637025e+00 -2.703869904387332213e+00 -2.465954569341177738e-01 -5.837380050346037130e+00 0.000000000000000000e+00
-1.694594038127555269e+00 3.047862648542966291e+00 4.646691685922144543e+00 2.457053838601889861e+00 -3.483870482268675017e-01 -5.754942766988557779e+00 0.000000000000000000e+00
-5.684523435720394424e+00 -1.230602049780224583e+00 4.393306273407376672e+00 -1.019833387153741278e+00 2.091063128968981388e+00 -5.708349469337936632e+00 0.000000000000000000e+00
-2.025211795303593743e+00 7.151847395608490476e-01 2.932082612171680758e+00 4.408806360340065678e-01 5.281910078513176732e-01 -5.677195692569861230e+00 0.000000000000000000e+00
-7.226803695858264653e+00 -1.254062783703684403e-01 3.180153120762074348e+00 -2.371155721311100528e+00 1.579381877011336366e+00 -5.541505455935439528e+00 0.000000000000000000e+00
-1.178644130004873958e+01 4.815245839149512541e+00 8.704498751960672021e-01 -1.568547224666425377e+00 2.818045874895460656e+00 -5.480825203170454962e+00 0.000000000000000000e+00
-3.012076657582918759e+00 2.932237277811112097e+00 1.810516433603659658e+00 2.735156419573778308e+00 2.211736044584691641e+00 -5.462657640697720751e+00 0.000000000000000000e+00
-8.094572489601430831e+00 3.558000249902663725e+00 4.156117414637318319e+00 -2.189135343376654497e+00 1.565789619884725425e+00 -5.434830831363643533e+00 0.000000000000000000e+00
-3.178174264011576877e+00 5.343935078336281563e-02 2.907639951028204717e-01 -1.268839730303456204e+00 1.116629034619812222e+00 -5.397560030576524781e+00 0.000000000000000000e+00
